,A,B,R_val,R_z_score,R_p_val
1889,Endothelia_vascular_venous_pulmonary,Fibro_immune_recruiting,0.2689062855626842,72.83856199940512,0.0
1620,Endothelia_Lymphatic,Endothelia_vascular_Cap_a,0.2682041081155666,72.64836341252777,0.0
1344,DC_activated,Fibro_immune_recruiting,0.26758019830765417,72.47936515675784,0.0
264,B_naive,Fibro_immune_recruiting,0.2669552917219602,72.31009690409999,0.0
2701,Mast_cell,Muscle_pericyte_airway,0.26678556784845525,72.26412385123065,0.0
1306,DC_2,Muscle_pericyte_airway,0.266244003960378,72.11743060917493,0.0
305,B_naive,Secretory_Club,0.26563488725068,71.95243935532092,0.0
2101,Fibro_alveolar,Muscle_pericyte_airway,0.2654408588027293,71.89988292992486,0.0
35,AT1,Fibro_peribronchial,0.2649008331679413,71.75360635405953,0.0
1810,Endothelia_vascular_arterial_pulmonary,Muscle_pericyte_airway,0.2648020282243545,71.72684308969687,0.0
1403,DC_plasmacytoid,Fibro_immune_recruiting,0.2646533395271592,71.6865678284972,0.0
969,CD8_TRM_EM,Fibro_immune_recruiting,0.2640200120545216,71.51501861280998,0.0
2506,Macro_AW_CX3CR1,Muscle_pericyte_airway,0.2638544559402269,71.47017447958267,0.0
1540,Dividing_AT2,Muscle_pericyte_airway,0.2638266373668013,71.46263927124436,0.0
23,AT1,Endothelia_Lymphatic,0.2630483240583266,71.25181778726281,0.0
836,CD8_EM,Fibro_immune_recruiting,0.2621331118158493,71.00391453157353,0.0
405,B_plasma_IgG,Endothelia_vascular_Cap_g,0.2620491254001207,70.98116515724651,0.0
1204,Ciliated,Suprabasal,0.2614359179047876,70.81506583355885,0.0
1034,CD8_TRM,Fibro_immune_recruiting,0.2612526904181965,70.76543506120954,0.0
2894,Muscle_pericyte_airway,NK_CD56bright,0.2610629102730219,70.71402937226617,0.0
3077,NK_CD11d,Secretory_Club,0.2609359071199624,70.6796280676671,0.0
2158,Fibro_immune_recruiting,Neuroendocrine,0.2606951156839859,70.61440496623754,0.0
2156,Fibro_immune_recruiting,NK_CD11d,0.2600956535483015,70.45202884384614,0.0
1203,Ciliated,Secretory_Goblet,0.25927273994606953,70.22912649215546,0.0
1629,Endothelia_Lymphatic,Fibro_immune_recruiting,0.2591362120921475,70.19214523479386,0.0
1651,Endothelia_Lymphatic,Muscle_pericyte_airway,0.25822680919070756,69.94581555350595,0.0
4,AT1,B_plasma_IgG,0.25808058947732,69.90620906518296,0.0
785,CD4_naive_CM,Mesothelia,0.25795220201160274,69.87143279224452,0.0
1385,DC_activated,Secretory_Club,0.25708790547306376,69.63732105745738,0.0
1284,DC_2,Fibro_immune_recruiting,0.2563530715320565,69.43827681622916,0.0
